"id","lokalisationsname","temporegime","temporegime_technical","umgesetzt_datum","rechtskraeftig_datum","publiziert_vsi_datum","ausnahmen_fahrverbot","fahrverbot_ssv","objectid","geometry"
"1383","Im Hofgarten","Fahrverbot","T0","","","","","","177","LINESTRING (2682888.8 1249911.4,2682944.2 1249981.4)"
"2384","Spitzackerstrasse","Fahrverbot","T0","","","","","","201","LINESTRING (2682935.5 1250149.2,2682956.8 1250177.8,2682963.8 1250186.1,2682971.5 1250193.9,2682979.8 1250201.1)"
"1718","Hirschwiesenstrasse","T50","T50","","","","","","301","LINESTRING (2683347 1250450,2683428.2 1250473,2683468 1250484.6,2683474.8 1250478.6)"
"2829","Spitzackerstrasse","Fahrverbot","T0","","","","","","320","LINESTRING (2682979.8 1250201.1,2682921.8 1250261)"
"2987","Milchbuckstrasse","Fahrverbot","T0","","","","","","332","LINESTRING (2683603.8 1249828.2,2683651 1249833.1,2683668.2 1249826.5,2683680 1249823.6,2683693.5 1249825.6)"
"521","Im Birkenhof","T20","T20","","","","","","396","LINESTRING (2683057.8 1250049,2683058.8 1250051.1,2683062 1250048.6)"
"705","Tram Bucheggplatz","Fahrverbot","T0","","","","","","435","LINESTRING (2682657.5 1250239.1,2682648 1250264.6,2682640.5 1250290.8,2682634.5 1250317.4,2682632 1250331.2,2682630 1250345.2,2682628.5 1250359.4)"
"352","Langackerstrasse","T30","T30","","","","","","441","LINESTRING (2683052.5 1250066.5,2683093.5 1250125.2,2683101.5 1250138.1,2683069.5 1250187.1,2683033.2 1250237.6,2682988.8 1250305)"
"3441","Bucheggstrasse","T50","T50","","","","","","462","LINESTRING (2682956 1250305.9,2683061.5 1250331.9)"
"4483","Laubiweg","Fahrverbot","T0","","","","","","493","LINESTRING (2682688.8 1249748.5,2682718.8 1249768.8)"
"4861","Spitzackerstrasse","Fahrverbot","T0","","","","","","536","LINESTRING (2682979.8 1250201.1,2682994.8 1250212.1,2683010.2 1250222.8,2683025.8 1250233.2,2683033.2 1250237.6)"
"4906","Steinkluppenweg","Fahrverbot","T0","","","","","","538","LINESTRING (2683281 1250504.1,2683275.8 1250510.5,2683207 1250613.9)"
"1521","Brunnenhofstrasse","T50","T50","","","","","","554","LINESTRING (2682685.5 1250560,2682709.2 1250549,2682712.5 1250547.9,2682715.8 1250546.9,2682719 1250546)"
"1534","Bülachhof","Fahrverbot","T0","","","","","","566","LINESTRING (2683750 1250690,2683693.8 1250674.2,2683696.8 1250663.5,2683657.5 1250652.2)"
"1752","Mimosenstrasse","T30","T30","","","","","","675","LINESTRING (2683620.2 1250765.5,2683529 1250828.5)"
"1726","Bucheggstrasse","T50","T50","","","","","","683","LINESTRING (2682978.2 1250319.4,2683069.8 1250341.9,2683081.8 1250336.1)"
"2524","Milchbuckstrasse","T30","T30","","","","","","808","LINESTRING (2683523.2 1249807.4,2683537.2 1249807.4,2683605.2 1249813.6)"
"3824","Strickhofstrasse","T30","T30","","","","","","814","LINESTRING (2683538.8 1249949.5,2683561 1249956.8,2683623 1249987.1)"
"2231","Rothstrasse","T50","T50","","","","","","908","LINESTRING (2682967.8 1249773.5,2683008.2 1249779.1,2683038 1249782.9,2683091.8 1249788.8)"
"4587","Brunnenhofweg","Fahrverbot","T0","","","","","","1038","LINESTRING (2682846.5 1250524.4,2682806 1250584)"
"4792","namenlos39","Fahrverbot","T0","","","","","","1041","LINESTRING (2682718 1250629.5,2682706.2 1250633.6,2682680.2 1250663.5,2682660 1250686,2682656 1250691.2,2682652.2 1250696.9,2682649.2 1250702.8)"
"4802","namenlos37","Fahrverbot","T0","","","","","","1042","LINESTRING (2683366 1250028.4,2683398.5 1250019.1,2683409 1250059.4)"
"4370","namenlos49","Fahrverbot","T0","","","","","","1086","LINESTRING (2682683 1250414.2,2682685.2 1250431.2,2682700.2 1250474.5,2682713 1250506.1,2682719 1250546)"
"3475","Beckhammer","T30","T30","","","","","","1089","LINESTRING (2683319 1250575.5,2683307.5 1250589.5,2683197.8 1250755.5,2683187 1250771.6)"
"4345","namenlos41","Fahrverbot","T0","","","","","","1096","LINESTRING (2683056.2 1250831.6,2683072.2 1250839.6,2683099.8 1250853.5,2683127.2 1250867,2683155 1250880.2)"
